,problema,scor,sursa,data
0,Globuri,100,pbinfo,1583791200
1,Globuri,-1,pbinfo,1583791200
2,Animale,100,pbinfo,1583791200
3,Parc2,100,pbinfo,1583791200
4,Camioane,100,pbinfo,1583791200
5,Copii2,100,pbinfo,1583791200
6,scadere2,100,pbinfo,1583791200
7,scadere2,0,pbinfo,1583791200
8,scadere2,-1,pbinfo,1583791200
9,Urare,100,pbinfo,1583791200
10,Urare,100,pbinfo,1583791200
11,sum00,100,pbinfo,1583791200
12,sum00,-1,pbinfo,1583791200
13,sum00,-1,pbinfo,1583791200
14,sum00,0,pbinfo,1583791200
15,sum00,-1,pbinfo,1583791200
16,sum00,0,pbinfo,1583791200
17,sum00,0,pbinfo,1583791200
18,sum00,0,pbinfo,1583791200
19,sum00,0,pbinfo,1583791200
20,Preturi1,100,pbinfo,1583704800
21,Preturi1,20,pbinfo,1583704800
22,Vuli,100,pbinfo,1583704800
23,Eroziune,100,pbinfo,1583618400
24,Eroziune,80,pbinfo,1583618400
25,Eroziune,20,pbinfo,1583618400
26,Eroziune,20,pbinfo,1583618400
27,Eroziune,20,pbinfo,1583618400
28,Cirese1,100,pbinfo,1583618400
29,Armonica,50,pbinfo,1583445600
30,Armonica,50,pbinfo,1583445600
31,conexidad,77,pbinfo,1583445600
32,conexidad,77,pbinfo,1583445600
33,tairos,100,pbinfo,1583445600
34,tairos,49,pbinfo,1583445600
35,ZOO,100,pbinfo,1583272800
36,ZOO,30,pbinfo,1583272800
37,ZOO,30,pbinfo,1583272800
38,ZOO,20,pbinfo,1583272800
39,Mars,100,pbinfo,1583272800
40,Bitsort,100,pbinfo,1583272800
41,Deal,35,pbinfo,1583186400
42,Grad1,100,pbinfo,1583186400
43,Magic,100,pbinfo,1583186400
44,Submit,100,pbinfo,1583186400
45,Schi,100,pbinfo,1583100000
46,Schi,80,pbinfo,1583100000
47,Schi,75,pbinfo,1583100000
48,Schi,45,pbinfo,1583100000
49,Schi,-1,pbinfo,1583100000
50,Bunicul,20,pbinfo,1583100000
51,Bunicul,60,pbinfo,1583100000
52,Bunicul,68,pbinfo,1583100000
53,Bunicul,20,pbinfo,1583100000
54,Bunicul,-1,pbinfo,1583100000
55,Bunicul,20,pbinfo,1583100000
56,Bunicul,20,pbinfo,1583100000
57,Bunicul,20,pbinfo,1583100000
58,Bunicul,20,pbinfo,1583100000
59,Bunicul,20,pbinfo,1583100000
60,Bunicul,28,pbinfo,1583100000
61,Bunicul,20,pbinfo,1583100000
62,Bunicul,20,pbinfo,1583100000
63,Bunicul,20,pbinfo,1583100000
64,Bunicul,20,pbinfo,1583100000
65,Bunicul,20,pbinfo,1583100000
66,Bunicul,20,pbinfo,1583100000
67,Bunicul,20,pbinfo,1583100000
68,Bunicul,20,pbinfo,1583100000
69,Bunicul,20,pbinfo,1583100000
70,Bunicul,20,pbinfo,1583100000
71,Bunicul,20,pbinfo,1583100000
72,Bunicul,20,pbinfo,1583100000
73,B210,100,pbinfo,1583100000
74,B210,75,pbinfo,1583100000
75,B210,30,pbinfo,1583100000
76,B210,10,pbinfo,1583100000
77,B210,-1,pbinfo,1583100000
78,B210,20,pbinfo,1583100000
79,B210,20,pbinfo,1583100000
80,B210,0,pbinfo,1583100000
81,B210,0,pbinfo,1583100000
82,B210,0,pbinfo,1583100000
83,B210,30,pbinfo,1583100000
84,B210,20,pbinfo,1583100000
85,B210,0,pbinfo,1583100000
86,Broscute,100,pbinfo,1583013600
87,Broscute,90,pbinfo,1583013600
88,Broscute,70,pbinfo,1583013600
89,Broscute,80,pbinfo,1583013600
90,Broscute,80,pbinfo,1583013600
91,Broscute,60,pbinfo,1583013600
92,Broscute,60,pbinfo,1583013600
93,Broscute,60,pbinfo,1583013600
94,Broscute,60,pbinfo,1583013600
95,Broscute,60,pbinfo,1583013600
96,Broscute,35,pbinfo,1583013600
97,Broscute,35,pbinfo,1583013600
98,Excursie,100,pbinfo,1582668000
99,Excursie,20,pbinfo,1582668000
100,Excursie,60,pbinfo,1582668000
101,Excursie,40,pbinfo,1582668000
102,Excursie,40,pbinfo,1582668000
103,Excursie,40,pbinfo,1582668000
104,Excursie,40,pbinfo,1582668000
105,distanta_maxima,100,pbinfo,1582668000
106,Becuri1,-1,pbinfo,1582668000
107,Becuri1,85,pbinfo,1582668000
108,Becuri1,80,pbinfo,1582668000
109,Becuri1,80,pbinfo,1582668000
110,Becuri1,80,pbinfo,1582668000
111,Becuri1,45,pbinfo,1582668000
112,Becuri1,28,pbinfo,1582668000
113,Becuri1,23,pbinfo,1582668000
114,Becuri1,85,pbinfo,1582668000
115,Becuri1,85,pbinfo,1582668000
116,Becuri1,80,pbinfo,1582668000
117,Becuri1,80,pbinfo,1582668000
118,Becuri1,80,pbinfo,1582668000
119,Becuri1,85,pbinfo,1582668000
120,Becuri1,85,pbinfo,1582668000
121,Becuri1,80,pbinfo,1582668000
122,Becuri1,80,pbinfo,1582668000
123,Becuri1,85,pbinfo,1582668000
124,Becuri1,55,pbinfo,1582668000
125,Becuri1,55,pbinfo,1582668000
126,Becuri1,50,pbinfo,1582668000
127,Becuri1,25,pbinfo,1582668000
128,Becuri1,20,pbinfo,1582668000
129,Becuri1,30,pbinfo,1582668000
130,Becuri1,30,pbinfo,1582668000
131,Becuri1,55,pbinfo,1582668000
132,Becuri1,55,pbinfo,1582668000
133,Becuri1,55,pbinfo,1582668000
134,Becuri1,55,pbinfo,1582668000
135,Becuri1,45,pbinfo,1582668000
136,Becuri1,45,pbinfo,1582668000
137,Becuri1,35,pbinfo,1582668000
138,Becuri1,40,pbinfo,1582668000
139,Becuri1,40,pbinfo,1582668000
140,Becuri1,40,pbinfo,1582668000
141,Becuri1,25,pbinfo,1582668000
142,Becuri1,30,pbinfo,1582668000
143,Becuri1,30,pbinfo,1582668000
144,Becuri1,35,pbinfo,1582668000
145,Becuri1,9,pbinfo,1582668000
146,Becuri1,23,pbinfo,1582668000
147,Becuri1,18,pbinfo,1582668000
148,Becuri1,18,pbinfo,1582668000
149,Proportionale1,100,pbinfo,1582668000
150,paritar,50,pbinfo,1582581600
151,paritar,70,pbinfo,1582581600
152,paritar,50,pbinfo,1582581600
153,paritar,30,pbinfo,1582581600
154,paritar,50,pbinfo,1582581600
155,paritar,50,pbinfo,1582581600
156,paritar,70,pbinfo,1582581600
157,paritar,-1,pbinfo,1582581600
158,paritar,-1,pbinfo,1582581600
159,PalXXL,100,pbinfo,1582581600
160,Alternanta,100,pbinfo,1582581600
161,Alternanta,50,pbinfo,1582581600
162,Alternanta,70,pbinfo,1582581600
163,Identice,100,pbinfo,1582581600
164,CifreDistincte,100,pbinfo,1582581600
165,sir_vale,100,pbinfo,1582581600
166,sir_vale,90,pbinfo,1582581600
167,sir_zigzag,100,pbinfo,1582581600
168,sir_zigzag,70,pbinfo,1582581600
169,sir_zigzag,70,pbinfo,1582581600
170,sir_zigzag,70,pbinfo,1582581600
171,sir_zigzag,40,pbinfo,1582581600
172,VerifNrParCifre,100,pbinfo,1582581600
173,Permutare,100,pbinfo,1582581600
174,Proportionale1,60,pbinfo,1582581600
175,Proportionale1,60,pbinfo,1582581600
176,Proportionale1,60,pbinfo,1582581600
177,Proportionale1,60,pbinfo,1582581600
178,Proportionale1,60,pbinfo,1582581600
179,Proportionale1,60,pbinfo,1582581600
180,Proportionale1,60,pbinfo,1582581600
181,Proportionale1,60,pbinfo,1582581600
182,Proportionale1,60,pbinfo,1582581600
183,Proportionale1,60,pbinfo,1582581600
184,Proportionale1,40,pbinfo,1582581600
185,Proportionale1,40,pbinfo,1582581600
186,Proportionale1,0,pbinfo,1582581600
187,Proportionale1,60,pbinfo,1582581600
188,Proportionale1,60,pbinfo,1582581600
189,Proportionale1,20,pbinfo,1582581600
190,Proportionale1,20,pbinfo,1582581600
191,Proportionale1,60,pbinfo,1582581600
192,Proportionale1,40,pbinfo,1582581600
193,Cautare,100,pbinfo,1582581600
194,Cautare,0,pbinfo,1582581600
195,Cautare,0,pbinfo,1582581600
196,Cautare,60,pbinfo,1582581600
197,Cautare,60,pbinfo,1582581600
198,Vecini,100,pbinfo,1582581600
199,Vecini,-1,pbinfo,1582581600
200,Sume2,100,pbinfo,1582581600
201,Sume2,80,pbinfo,1582581600
202,Sume2,-1,pbinfo,1582581600
203,Cool,100,pbinfo,1582581600
204,Cool,40,pbinfo,1582581600
205,Cool,20,pbinfo,1582581600
206,Cool,20,pbinfo,1582581600
207,Cool,-1,pbinfo,1582581600
208,Cool,40,pbinfo,1582581600
209,Cool,40,pbinfo,1582581600
210,Cool,20,pbinfo,1582581600
211,Cool,25,pbinfo,1582581600
212,Cool,25,pbinfo,1582581600
213,Cool,15,pbinfo,1582581600
214,Cool,15,pbinfo,1582581600
215,Cool,15,pbinfo,1582581600
216,ursulet,5,pbinfo,1582581600
217,ursulet,5,pbinfo,1582495200
218,ursulet,0,pbinfo,1582495200
219,ursulet,5,pbinfo,1582495200
220,ursulet,0,pbinfo,1582495200
221,ursulet,5,pbinfo,1582495200
222,ursulet,5,pbinfo,1582495200
223,Oglindiri,100,pbinfo,1582495200
224,Oglindiri,0,pbinfo,1582495200
225,Secventa,100,pbinfo,1582495200
226,Secventa,0,pbinfo,1582495200
227,SecvCresc,100,pbinfo,1582495200
228,SecvCresc,60,pbinfo,1582495200
229,SecvCresc,-1,pbinfo,1582495200
230,SecvMax,100,pbinfo,1582495200
231,Secvente1,100,pbinfo,1582495200
232,Secvente1,40,pbinfo,1582495200
233,Secvente1,40,pbinfo,1582495200
234,Secvente1,20,pbinfo,1582495200
235,SecvEgale1,100,pbinfo,1582495200
236,kSecventa1,100,pbinfo,1582408800
237,kSecventa,100,pbinfo,1582408800
238,kSecventa,60,pbinfo,1582408800
239,kSecventa,60,pbinfo,1582408800
240,Secventa2,100,pbinfo,1582408800
241,Secventa2,60,pbinfo,1582408800
242,SecvEgale,100,pbinfo,1582408800
243,SecvK,100,pbinfo,1582063200
244,SecvK,80,pbinfo,1582063200
245,SecvK,20,pbinfo,1582063200
246,SecvK,-1,pbinfo,1582063200
247,SecvK,20,pbinfo,1582063200
248,SecvK,20,pbinfo,1582063200
249,SecvK,20,pbinfo,1582063200
250,SecvK,20,pbinfo,1582063200
251,SecvK,-1,pbinfo,1582063200
252,SecvK,20,pbinfo,1582063200
253,SecvK,0,pbinfo,1582063200
254,NrSecvente,100,pbinfo,1582063200
255,Ubuntzei,25,pbinfo,1581717600
256,Dijkstra,100,pbinfo,1581631200
257,Dijkstra,60,pbinfo,1581631200
258,Dijkstra,60,pbinfo,1581631200
259,Dijkstra,60,pbinfo,1581631200
260,Dijkstra,60,pbinfo,1581631200
261,Dijkstra,60,pbinfo,1581631200
262,Dijkstra,60,pbinfo,1581631200
263,Dijkstra,60,pbinfo,1581631200
264,asciimat,100,pbinfo,1581458400
265,asciimat,-1,pbinfo,1581458400
266,Suma5,100,pbinfo,1581372000
267,Suma5,52,pbinfo,1581372000
268,Suma5,0,pbinfo,1581372000
269,Suma5,0,pbinfo,1581372000
270,Suma5,40,pbinfo,1581372000
271,Suma5,40,pbinfo,1581372000
272,Suma5,0,pbinfo,1581372000
273,nkgraf,65,pbinfo,1581285600
274,nkgraf,55,pbinfo,1581285600
275,nkgraf,0,pbinfo,1581285600
276,nkgraf,55,pbinfo,1581285600
277,nkgraf,45,pbinfo,1581285600
278,nkgraf,45,pbinfo,1581285600
279,nkgraf,0,pbinfo,1581285600
280,nkgraf,15,pbinfo,1581285600
281,asciimat,100,pbinfo,1581199200
282,Dineu,70,pbinfo,1581026400
283,Dineu,-1,pbinfo,1581026400
284,Dineu,70,pbinfo,1581026400
285,Dineu,20,pbinfo,1581026400
286,Dineu,20,pbinfo,1581026400
287,Dineu,20,pbinfo,1581026400
288,Dineu,40,pbinfo,1581026400
289,Dineu,0,pbinfo,1581026400
290,Dineu,60,pbinfo,1581026400
291,Dineu,0,pbinfo,1581026400
292,Dineu,60,pbinfo,1581026400
293,Vot,100,pbinfo,1581026400
294,pion1,40,pbinfo,1580940000
295,pion1,40,pbinfo,1580940000
296,pion1,0,pbinfo,1580940000
297,pion1,20,pbinfo,1580940000
298,pion1,20,pbinfo,1580940000
299,pion1,20,pbinfo,1580940000
300,pion1,20,pbinfo,1580940000
301,Cladire5,100,pbinfo,1580853600
302,SumTri_XI,100,pbinfo,1580853600
303,Joc4,100,pbinfo,1580853600
304,Joc4,10,pbinfo,1580767200
305,Joc4,10,pbinfo,1580767200
306,Joc4,0,pbinfo,1580767200
307,Joc4,0,pbinfo,1580767200
308,Joc4,0,pbinfo,1580767200
309,Joc4,0,pbinfo,1580767200
310,Joc4,10,pbinfo,1580767200
311,Immortal,100,pbinfo,1580767200
312,Piscina,100,pbinfo,1580680800
313,Piscina,0,pbinfo,1580680800
314,Piscina,10,pbinfo,1580680800
315,barci,70,pbinfo,1580594400
316,barci,10,pbinfo,1580594400
317,barci,0,pbinfo,1580594400
318,barci,30,pbinfo,1580594400
319,barci,30,pbinfo,1580594400
320,expand,90,pbinfo,1580508000
321,expand,40,pbinfo,1580508000
322,autostrada,100,pbinfo,1580421600
323,autostrada,60,pbinfo,1580421600
324,autostrada,30,pbinfo,1580421600
325,autostrada,30,pbinfo,1580421600
326,card,100,pbinfo,1580335200
327,modernizare,100,pbinfo,1580248800
328,modernizare,70,pbinfo,1580162400
329,modernizare,70,pbinfo,1580162400
330,modernizare,50,pbinfo,1580162400
331,modernizare,70,pbinfo,1580162400
332,modernizare,60,pbinfo,1580162400
333,modernizare,60,pbinfo,1580162400
334,modernizare,40,pbinfo,1580162400
335,modernizare,30,pbinfo,1580162400
336,modernizare,30,pbinfo,1580162400
337,modernizare,40,pbinfo,1580162400
338,modernizare,30,pbinfo,1580162400
339,modernizare,30,pbinfo,1580162400
340,modernizare,40,pbinfo,1580162400
341,modernizare,30,pbinfo,1580162400
342,modernizare,40,pbinfo,1580162400
343,modernizare,30,pbinfo,1580162400
344,modernizare,40,pbinfo,1580162400
345,camioane1,90,pbinfo,1580076000
346,camioane1,40,pbinfo,1580076000
347,camioane1,10,pbinfo,1580076000
348,camioane1,40,pbinfo,1580076000
349,camioane1,0,pbinfo,1580076000
350,camioane1,0,pbinfo,1580076000
351,camioane1,40,pbinfo,1580076000
352,camioane1,30,pbinfo,1580076000
353,camioane1,0,pbinfo,1580076000
354,camioane1,0,pbinfo,1580076000
355,camioane1,0,pbinfo,1580076000
356,camioane1,-1,pbinfo,1580076000
357,camioane1,-1,pbinfo,1580076000
358,camioane1,-1,pbinfo,1580076000
359,gradina1,20,pbinfo,1579644000
360,gradina1,20,pbinfo,1579644000
361,gradina1,10,pbinfo,1579644000
362,gradina1,10,pbinfo,1579644000
363,gradina1,10,pbinfo,1579644000
364,gradina1,10,pbinfo,1579644000
365,gradina1,10,pbinfo,1579644000
366,gradina1,-1,pbinfo,1579644000
367,gradina1,10,pbinfo,1579644000
368,gradina1,10,pbinfo,1579644000
369,Plata1,100,pbinfo,1579644000
370,Plata1,0,pbinfo,1579644000
371,Project Management,90,pbinfo,1579384800
372,Project Management,40,pbinfo,1579384800
373,Project Management,40,pbinfo,1579384800
374,Project Management,40,pbinfo,1579384800
375,Project Management,60,pbinfo,1579384800
376,Project Management,30,pbinfo,1579384800
377,Project Management,40,pbinfo,1579298400
378,Project Management,40,pbinfo,1579298400
379,Project Management,30,pbinfo,1579298400
380,Project Management,30,pbinfo,1579298400
381,Ornament,100,pbinfo,1579125600
382,sum00,0,pbinfo,1578952800
383,sum00,0,pbinfo,1578952800
384,Orase,100,pbinfo,1578866400
385,Orase,20,pbinfo,1578866400
386,Orase,20,pbinfo,1578866400
387,Orase,20,pbinfo,1578866400
388,RF,100,pbinfo,1578780000
389,Roy-Floyd,100,pbinfo,1578780000
390,Roy-Floyd,0,pbinfo,1578780000
391,RF,20,pbinfo,1578780000
392,RF,20,pbinfo,1578780000
393,RF,20,pbinfo,1578780000
394,RF,20,pbinfo,1578780000
395,RF,20,pbinfo,1578780000
396,RF,20,pbinfo,1578780000
397,RF,0,pbinfo,1578780000
398,RF,20,pbinfo,1578780000
399,RF,0,pbinfo,1578780000
400,RF,20,pbinfo,1578780000
401,RF,20,pbinfo,1578780000
402,RF,20,pbinfo,1578780000
403,Graf,100,pbinfo,1578607200
404,Graf,0,pbinfo,1578607200
405,Graf,20,pbinfo,1578607200
406,Drum Hamiltonian,100,pbinfo,1578607200
407,Drum Hamiltonian,20,pbinfo,1578434400
408,Anunt,100,pbinfo,1578434400
409,Tare conexitate,100,pbinfo,1578434400
410,Tare conexitate,20,pbinfo,1578434400
411,Mall,100,pbinfo,1578434400
412,Mall,50,pbinfo,1578434400
413,Mall,50,pbinfo,1578434400
414,Mall,50,pbinfo,1578434400
415,Mall,50,pbinfo,1578434400
416,Roy-Warshall,100,pbinfo,1578434400
417,Project Management,40,pbinfo,1578348000
418,Project Management,40,pbinfo,1578348000
419,Project Management,0,pbinfo,1578348000
420,SortTopMinLex,100,pbinfo,1578348000
421,SortTopMinLex,70,pbinfo,1578348000
422,SortTopMinLex,0,pbinfo,1578348000
423,TopSort,100,pbinfo,1578348000
424,Protest,100,pbinfo,1578348000
425,DSLM,100,pbinfo,1578348000
426,Drumuri,100,pbinfo,1578175200
427,Turneu,100,pbinfo,1578175200
428,AfisCicluri,100,pbinfo,1578175200
429,AfisCicluri,0,pbinfo,1578175200
430,AfisCircuite,100,pbinfo,1578175200
431,Cunoscuti,100,pbinfo,1578175200
432,GradIntNul,100,pbinfo,1578175200
433,Grade2,100,pbinfo,1578175200
434,Ascensiune,95,pbinfo,1578002400
435,Ascensiune,90,pbinfo,1578002400
436,Ascensiune,95,pbinfo,1578002400
437,Ascensiune,90,pbinfo,1578002400
438,Gasti,0,pbinfo,1577916000
439,Gasti,0,pbinfo,1577916000
440,afin,100,pbinfo,1577916000
441,Fibonacci1,100,pbinfo,1577916000
442,Fibonacci,100,pbinfo,1577916000
443,Fibonacci,0,pbinfo,1577916000
444,VerifNumar,65,pbinfo,1576015200
445,Initiale,40,pbinfo,1575928800
446,AddOne,0,pbinfo,1575928800
447,AddOne,0,pbinfo,1575928800
448,primulbit,100,pbinfo,1575928800
449,primulbit,60,pbinfo,1575928800
450,BitSwap,100,pbinfo,1575928800
451,BitSwap,0,pbinfo,1575928800
452,invbits,100,pbinfo,1575928800
